player_id,date,market_value_in_eur,current_club_id,player_club_domestic_competition_id
1001,2024-06-01,110000000,1,GB1
1001,2024-08-15,115000000,1,GB1
1001,2024-11-01,120000000,1,GB1
1002,2024-06-01,100000000,1,GB1
1002,2024-08-15,95000000,1,GB1
1002,2024-11-01,100000000,1,GB1
1003,2024-06-01,60000000,2,GB1
1003,2024-08-15,62000000,2,GB1
1003,2024-11-01,65000000,2,GB1
1006,2024-06-01,180000000,3,ES1
1006,2024-08-15,200000000,3,ES1
1006,2024-11-01,200000000,3,ES1
1007,2024-06-01,170000000,3,ES1
1007,2024-08-15,175000000,3,ES1
1007,2024-11-01,180000000,3,ES1
1010,2024-06-01,100000000,5,L1
1010,2024-08-15,95000000,5,L1
1010,2024-11-01,90000000,5,L1
